atemp,casual,count,datetime,holiday,humidity,registered,season,temp,weather,windspeed,workingday,year,month,day,hour
0.2879,3.0,16.0,2011-01-01 00:00:00,0.0,0.81,13.0,0.0,0.22448979591836735,0.0,0.0,0,0.0,0.0,0.0,0.0
0.2727,8.0,40.0,2011-01-01 01:00:00,0.0,0.8,32.0,0.0,0.20408163265306123,0.0,0.0,0,0.0,0.0,0.0,0.043478260869565216
0.2727,5.0,32.0,2011-01-01 02:00:00,0.0,0.8,27.0,0.0,0.20408163265306123,0.0,0.0,0,0.0,0.0,0.0,0.08695652173913043
0.2879,3.0,13.0,2011-01-01 03:00:00,0.0,0.75,10.0,0.0,0.22448979591836735,0.0,0.0,0,0.0,0.0,0.0,0.13043478260869565
0.2879,0.0,1.0,2011-01-01 04:00:00,0.0,0.75,1.0,0.0,0.22448979591836735,0.0,0.0,0,0.0,0.0,0.0,0.17391304347826086
0.2576,0.0,1.0,2011-01-01 05:00:00,0.0,0.75,1.0,0.0,0.22448979591836735,0.3333333333333333,0.10532502644880687,0,0.0,0.0,0.0,0.21739130434782608
0.2727,2.0,2.0,2011-01-01 06:00:00,0.0,0.8,0.0,0.0,0.20408163265306123,0.0,0.0,0,0.0,0.0,0.0,0.2608695652173913
0.2576,1.0,3.0,2011-01-01 07:00:00,0.0,0.86,2.0,0.0,0.18367346938775508,0.0,0.0,0,0.0,0.0,0.0,0.30434782608695654
0.2879,1.0,8.0,2011-01-01 08:00:00,0.0,0.75,7.0,0.0,0.22448979591836735,0.0,0.0,0,0.0,0.0,0.0,0.34782608695652173
0.34850000000000003,8.0,14.0,2011-01-01 09:00:00,0.0,0.76,6.0,0.0,0.3061224489795918,0.0,0.0,0,0.0,0.0,0.0,0.3913043478260869
0.39390000000000003,12.0,36.0,2011-01-01 10:00:00,0.0,0.76,24.0,0.0,0.36734693877551017,0.0,0.2982249911837311,0,0.0,0.0,0.0,0.43478260869565216
0.3333,26.0,56.0,2011-01-01 11:00:00,0.0,0.81,30.0,0.0,0.3469387755102041,0.0,0.33337251675091106,0,0.0,0.0,0.0,0.4782608695652174
0.4242,29.0,84.0,2011-01-01 12:00:00,0.0,0.77,55.0,0.0,0.4081632653061224,0.0,0.33337251675091106,0,0.0,0.0,0.0,0.5217391304347826
0.4545,47.0,94.0,2011-01-01 13:00:00,0.0,0.72,47.0,0.0,0.4489795918367347,0.3333333333333333,0.35088750440813454,0,0.0,0.0,0.0,0.5652173913043478
0.4545,35.0,106.0,2011-01-01 14:00:00,0.0,0.72,71.0,0.0,0.4489795918367347,0.3333333333333333,0.33337251675091106,0,0.0,0.0,0.0,0.6086956521739131
0.4394,40.0,110.0,2011-01-01 15:00:00,0.0,0.77,70.0,0.0,0.42857142857142855,0.3333333333333333,0.35088750440813454,0,0.0,0.0,0.0,0.6521739130434783
0.4242,41.0,93.0,2011-01-01 16:00:00,0.0,0.8200000000000001,52.0,0.0,0.4081632653061224,0.3333333333333333,0.35088750440813454,0,0.0,0.0,0.0,0.6956521739130435
0.4394,15.0,67.0,2011-01-01 17:00:00,0.0,0.8200000000000001,52.0,0.0,0.42857142857142855,0.3333333333333333,0.33337251675091106,0,0.0,0.0,0.0,0.7391304347826086
0.4242,9.0,35.0,2011-01-01 18:00:00,0.0,0.88,26.0,0.0,0.4081632653061224,0.6666666666666667,0.2982249911837311,0,0.0,0.0,0.0,0.7826086956521738
0.4242,6.0,37.0,2011-01-01 19:00:00,0.0,0.88,31.0,0.0,0.4081632653061224,0.6666666666666667,0.2982249911837311,0,0.0,0.0,0.0,0.8260869565217391
